"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes"
"1160111";"01";"";"5034601";"";"2035160";"LATO SENSU";"";"setor 5 A1";"2009";"2";"2009-12-15";"2009-12-19";"7M2345  3456N234";"";"50";"REGULAR";"f";"2010-10-21 11:13:55.578";"f";"";"";"CONSOLIDADA";"";"Presencial"
"1166282";"01";"17417";"";"";"26695";"GRADUAÇÃO";"Campus Central";"macau";"2009";"2";"2009-08-10";"2009-12-16";"5T56  5N1234";"";"60";"REGULAR";"f";"2011-03-04 10:37:54.127";"f";"";"";"CONSOLIDADA";"";"Presencial"
"1166284";"01";"17566";"";"";"25005";"GRADUAÇÃO";"Campus Central";"macau";"2009";"2";"2009-08-10";"2009-12-16";"4T56  4N1234";"";"60";"REGULAR";"f";"2011-03-16 18:20:14.079";"f";"";"";"CONSOLIDADA";"";"Presencial"
"1166285";"01";"18411";"";"";"26693";"GRADUAÇÃO";"Campus Central";"macau";"2009";"2";"2009-08-10";"2009-12-16";"6T56  6N1234";"";"60";"REGULAR";"f";"2011-03-05 10:33:21.041";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57483502";"01";"22824";"";"";"40320";"STRICTO SENSU";"";"SETOR II";"2009";"2";"2009-11-30";"2009-12-04";"2M3";"";"15";"REGULAR";"f";"2009-07-03 15:12:03.525";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57495315";"01";"";"7183734";"";"2037214";"LATO SENSU";"";"LAB";"2009";"2";"2009-07-09";"2009-07-11";"67M2345  67T3456  5N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57495316";"01";"18643";"";"";"2037215";"LATO SENSU";"";"LAB";"2009";"2";"2009-08-06";"2009-08-08";"67M2345  67T3456  5N1234";"";"30";"REGULAR";"f";"";"f";"";"";"ABERTA";"";"Presencial"
"57506762";"01";"5751926";"";"";"2037839";"LATO SENSU";"";"SALA 19 DEART";"2009";"2";"2009-08-03";"2009-08-11";"7M2345  23456N1234";"";"50";"REGULAR";"f";"2009-12-18 10:41:40.309";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57506860";"01";"";"7756120";"";"2038107";"LATO SENSU";"";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"2009";"2";"2009-08-17";"2009-09-19";"7M2345  23456N1234";"";"50";"REGULAR";"f";"2009-11-24 11:46:06.952";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57506860";"01";"5752281";"";"";"2038107";"LATO SENSU";"";"DEPARTAMENTO DE EDUCAÇÃO FÍSICA";"2009";"2";"2009-08-17";"2009-09-19";"7M2345  23456N1234";"";"50";"REGULAR";"f";"2009-11-24 11:46:06.952";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57522103";"01";"5751600";"";"REGISTRO 2009.1";"2045553";"TÉCNICO";"";"SALA 23 - ESCOLA DE ENFERMAGEM DE NATAL";"2009";"2";"2009-08-10";"2009-08-24";"2345M12345";"";"45";"REGULAR";"f";"2009-12-27 12:44:33.989";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57522103";"01";"24229";"";"REGISTRO 2009.1";"2045553";"TÉCNICO";"";"SALA 23 - ESCOLA DE ENFERMAGEM DE NATAL";"2009";"2";"2009-08-10";"2009-08-24";"2345M12345";"";"45";"REGULAR";"f";"2009-12-27 12:44:33.989";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57522659";"01";"23680";"";"";"2038351";"STRICTO SENSU";"";"UFRN";"2009";"2";"2009-08-01";"2009-08-30";"7N12";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57522663";"01";"18517";"";"";"2036800";"STRICTO SENSU";"";"UFRN";"2009";"2";"2009-07-06";"2009-07-10";"234M5";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57522667";"01";"";"243485";"";"2036801";"STRICTO SENSU";"";"UFRN";"2009";"2";"2009-07-06";"2009-07-10";"234M6";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57522707";"01";"";"243485";"";"2036801";"STRICTO SENSU";"";"UFRN";"2009";"2";"2009-07-06";"2009-07-10";"7M123";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57522801";"02";"";"243485";"";"2036801";"STRICTO SENSU";"";"UFRN";"2009";"2";"2009-07-06";"2009-07-10";"234M3";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57522804";"05";"";"243485";"";"2036801";"STRICTO SENSU";"";"UFRN";"2009";"2";"2009-07-06";"2009-07-10";"234M6";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57526255";"01";"2304092";"";"";"37381";"STRICTO SENSU";"";"Sala da Pós graduação em Psicobiologia";"2009";"2";"2009-07-13";"2009-07-23";"6T23";"";"10";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial"
"57527204";"01";"15562";"";"";"2042900";"LATO SENSU";"";"JOÃO CÂMARA";"2009";"2";"2009-07-18";"2009-08-22";"7M2345  7T2345";"";"53";"REGULAR";"f";"2010-09-09 09:36:01.723";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57527205";"01";"21795";"";"";"2042902";"LATO SENSU";"";"JOÃO CÂMARA";"2009";"2";"2009-09-19";"2009-10-24";"7M2345  7T2345";"";"53";"REGULAR";"f";"2011-01-20 16:56:25.71";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57527206";"01";"37484";"";"";"2042904";"LATO SENSU";"";"JOÃO CÂMARA";"2009";"2";"2009-11-07";"2009-11-28";"7M2345  7T2345";"";"53";"REGULAR";"f";"2010-08-03 11:41:26.757";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528702";"01";"22886";"";"";"18815";"TÉCNICO";"";"MINI AUDITÓRIO";"2009";"2";"2009-08-10";"2009-12-16";"2T3456";"46";"60";"REGULAR";"f";"2009-12-17 15:05:47.044";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528703";"01";"25965";"";"";"18773";"TÉCNICO";"";"SALA 21";"2009";"2";"2009-08-10";"2009-12-16";"3T12";"25";"40";"REGULAR";"f";"2009-12-08 09:44:41.89";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528704";"01";"24233";"";"";"18729";"TÉCNICO";"";"MINI AUDITÓRIO";"2009";"2";"2009-08-10";"2009-12-16";"4T12";"7";"30";"REGULAR";"f";"2009-12-17 11:02:25.399";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528705";"01";"24233";"";"PROEJA";"2047751";"TÉCNICO";"";"20";"2009";"2";"2009-08-10";"2009-12-16";"2N234";"";"20";"REGULAR";"f";"2009-12-17 21:19:59.54";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528706";"01";"35466";"";"*Alunos de De Agosto";"18652";"TÉCNICO";"";"C";"2009";"2";"2009-08-10";"2009-12-16";"4T123";"4";"4";"REGULAR";"f";"2009-12-14 18:11:33.714";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528707";"02";"23400";"";"";"18652";"TÉCNICO";"";"F";"2009";"2";"2009-08-10";"2009-12-16";"4T456";"3";"2";"REGULAR";"f";"2009-12-18 00:30:15.232";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528708";"03";"23400";"";"";"18652";"TÉCNICO";"";"F";"2009";"2";"2009-08-10";"2009-12-16";"4T123";"1";"2";"REGULAR";"f";"2009-12-18 00:31:46.895";"f";"";"";"CONSOLIDADA";"";"Presencial"
"57528709";"01";"23400";"";"";"18654";"TÉCNICO";"";"F";"2009";"2";"2009-08-10";"2009-12-16";"5T123";"2";"2";"REGULAR";"f";"2009-12-18 00:32:53.685";"f";"";"";"CONSOLIDADA";"";"Presencial"
