"id_turma";"codigo_turma";"id_docente_interno";"id_docente_externo";"observacao";"id_componente_curricular";"nivel_ensino";"campus_turma";"local";"ano";"periodo";"data_inicio";"data_fim";"descricao_horario";"total_solicitacoes";"capacidade_aluno";"tipo";"distancia";"data_consolidacao";"agrupadora";"id_turma_agrupadora";"qtd_aulas_lancadas";"situacao_turma";"convenio";"modalidade_participantes";
"1160134";"01";"23731";"";"";"42125";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011-07-01";"2011-07-03";"567M2345  67T3456";"";"45";"REGULAR";"f";"2012-05-21 13:13:16.294";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1160136";"01";"2301545";"";"";"42128";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011-10-07";"2011-10-09";"7M2345  67T3456  56N1234";"";"45";"REGULAR";"f";"2012-05-21 13:42:42.042";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1160137";"01";"5753023";"";"";"42130";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011-11-04";"2011-11-06";"567M2345  67T3456";"";"45";"REGULAR";"f";"2012-05-21 14:13:12.945";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1160138";"01";"26605";"";"";"42132";"LATO SENSU";"";"AUD DE PSICOLOGIA";"2011";"2";"2011-12-02";"2011-12-04";"7M2345  67T3456  56N2345";"";"45";"REGULAR";"f";"2012-05-21 14:04:41.305";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1161092";"01";"23115";"";"";"42174";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011-08-01";"2011-08-06";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"f";"2012-01-09 18:41:22.219";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1161093";"01";"5752677";"";"";"42175";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011-07-04";"2011-07-09";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"f";"2011-10-03 10:44:12.687";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1161094";"01";"5752677";"";"";"42173";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011-09-19";"2011-09-24";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"f";"2012-01-10 09:30:43.678";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1161094";"01";"23203";"";"";"42173";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011-09-19";"2011-09-24";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"f";"2012-01-10 09:30:43.678";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1161095";"01";"22992";"";"";"42177";"LATO SENSU";"";"Sala de Aula 5 (DEF)";"2011";"2";"2011-10-03";"2011-10-08";"7M12345  7T1  23456N12345";"";"55";"REGULAR";"f";"2012-01-10 09:26:48.435";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1162532";"02";"5753630";"";"TURMA DE FÉRIAS - JUNHO/JULHO 2011";"2036900";"TÉCNICO";"";"LABORATÓRIO DE INFORMÁTICA - EEN";"2011";"2";"2011-07-11";"2011-07-22";"23456M23456";"";"20";"REGULAR";"f";"2011-08-03 11:55:57.553";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1162532";"02";"5752875";"";"TURMA DE FÉRIAS - JUNHO/JULHO 2011";"2036900";"TÉCNICO";"";"LABORATÓRIO DE INFORMÁTICA - EEN";"2011";"2";"2011-07-11";"2011-07-22";"23456M23456";"";"20";"REGULAR";"f";"2011-08-03 11:55:57.553";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1163520";"01";"";"90804934";"";"42365";"LATO SENSU";"";"SETOR V SALA F5";"2011";"2";"2011-08-15";"2011-08-19";"23456N2345";"";"71";"REGULAR";"f";"2012-04-24 09:26:14.652";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1163521";"01";"";"8405744";"";"42363";"LATO SENSU";"";"SETOR V SALA F5";"2011";"2";"2011-07-04";"2011-07-08";"";"";"71";"REGULAR";"f";"2012-04-11 23:32:11.865";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1166045";"01";"5754183";"";"";"24699";"GRADUAÇÃO";"Campus Central";"DECOM";"2011";"2";"2010-08-09";"2010-12-22";"35N12";"11";"30";"REGULAR";"f";"";"f";"";"";"EXCLUÍDA";"";"Presencial";
"1167360";"01";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 17:24:17.456";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1167363";"02";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 17:29:21.678";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1167364";"03";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 17:37:07.334";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1167365";"04";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 17:45:10.905";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1167366";"05";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 17:51:30.739";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1167367";"06";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 17:54:53.085";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1167369";"07";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 17:57:49.531";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1167370";"08";"5753623";"";"";"2053829";"LATO SENSU";"";"";"2011";"2";"2011-08-08";"2011-08-29";"";"";"";"REGULAR";"t";"2011-10-04 18:00:55.031";"f";"";"";"CONSOLIDADA";"";"A Distância";
"1168240";"01";"5754276";"";"";"42936";"LATO SENSU";"";"ESCOLA DE MÚSICA";"2011";"2";"2011-10-24";"2011-10-28";"23456N1234";"";"30";"REGULAR";"f";"2011-12-21 01:33:02.032";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1168333";"01";"";"5032718";"";"42891";"LATO SENSU";"";"NEPSA SALA 03";"2011";"2";"2011-07-04";"2011-07-13";"";"";"40";"REGULAR";"f";"2012-10-31 12:15:45.308";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1168334";"01";"22947";"";"";"43838";"LATO SENSU";"";"NEPSA SALA 03";"2011";"2";"2011-08-01";"2011-08-17";"";"";"40";"REGULAR";"f";"2012-11-19 09:09:25.445";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1168335";"01";"4274563";"";"";"42898";"LATO SENSU";"";"NEPSA SALA 03";"2011";"2";"2011-08-29";"2011-09-14";"";"";"40";"REGULAR";"f";"2012-12-06 09:32:59.849";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1168336";"01";"5753410";"";"";"42894";"LATO SENSU";"";"NEPSA SALA 03";"2011";"2";"2011-10-03";"2011-10-13";"";"";"40";"REGULAR";"f";"2012-11-23 18:47:52.827";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1168337";"01";"";"51288402";"";"43820";"LATO SENSU";"";"NEPSA SALA 03";"2011";"2";"2011-11-07";"2011-11-23";"";"";"40";"REGULAR";"f";"2012-11-20 10:15:37.668";"f";"";"";"CONSOLIDADA";"";"Presencial";
"1168338";"01";"23664";"";"";"42897";"LATO SENSU";"";"NEPSA SALA 03";"2011";"2";"2011-12-05";"2011-12-21";"";"";"40";"REGULAR";"f";"2012-11-12 11:05:16.977";"f";"";"";"CONSOLIDADA";"";"Presencial";
