"id_unidade";"unidade";"natureza_despesa";"valor";
"5957";"0106/2011 - ESCOLA DE POSTURA: ATENÇÃO À SAÚDE DO ESCOLAR.";"EQUIP. MATERIAL PERMANENTE";"R$         4.395,99";
"5957";"0106/2011 - ESCOLA DE POSTURA: ATENÇÃO À SAÚDE DO ESCOLAR.";"MAT. CONSUMO";"R$         1.071,34";
"5955";"0144/2011 - INTERVENÇÃO MULTIPROFISSIONAL PARA TRATAMENTO DE LOMBALGIA";"CUSTEIO";"R$         8.083,44";
"5955";"0144/2011 - INTERVENÇÃO MULTIPROFISSIONAL PARA TRATAMENTO DE LOMBALGIA";"EQUIP. MATERIAL PERMANENTE";"R$         5.500,00";
"5955";"0144/2011 - INTERVENÇÃO MULTIPROFISSIONAL PARA TRATAMENTO DE LOMBALGIA";"MAT. CONSUMO";"R$           778,28";
"5952";"0357/2011 - SOM DA CIÊNCIA: OUVINDO E/OU VENDO A TRANSDICIPLINARIDADE";"CUSTEIO";"R$         2.526,14";
"5952";"0357/2011 - SOM DA CIÊNCIA: OUVINDO E/OU VENDO A TRANSDICIPLINARIDADE";"MAT. CONSUMO";"R$           164,93";
"5956";"0537/2011 - PROJETO ESTRATÉGIASUS";"CUSTEIO";"R$        10.842,74";
"5956";"0537/2011 - PROJETO ESTRATÉGIASUS";"EQUIP. MATERIAL PERMANENTE";"R$         4.428,00";
"5956";"0537/2011 - PROJETO ESTRATÉGIASUS";"MAT. CONSUMO";"R$           589,98";
"5950";"0687/2011 - INFLUÊNCIA DA APLICAÇÃO DE FERTILIZANTES ORGÂNICOS E DA INOCULAÇÃO DE FUNGOS MICORRÍZICOS NO DESENVOLVIMENTO DE GIRASSOL (HELIANTHUS ANNUUS L.)";"CUSTEIO";"R$         5.034,54";
"5950";"0687/2011 - INFLUÊNCIA DA APLICAÇÃO DE FERTILIZANTES ORGÂNICOS E DA INOCULAÇÃO DE FUNGOS MICORRÍZICOS NO DESENVOLVIMENTO DE GIRASSOL (HELIANTHUS ANNUUS L.)";"MAT. CONSUMO";"R$         4.186,90";
"5883";"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"CUSTEIO";"R$         6.996,00";
"5883";"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"EQUIP. MATERIAL PERMANENTE";"R$         6.835,51";
"5883";"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"MAT. CONSUMO";"R$         1.439,37";
"5883";"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"PASSAGENS";"R$             0,00";
"5883";"0690/2011 - UNIAVC- UNIDADE DE REABILITAÇÃO NO ACIDENTE VASCULAR CEREBRAL (AVC)";"SERV. PESSOA JURÍDICA";"R$           320,00";
"5954";"0984/2011 - AVALIAÇÃO DAS CONDIÇÕES DE SAÚDE E QUALIDADE DE VIDA DE IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA: IMPLANTAÇÃO DE PROTOCOLO DE AVALIAÇÃO GERONTOLÓGICA MULTIDIMENSIONAL";"CUSTEIO";"R$         5.000,47";
"5954";"0984/2011 - AVALIAÇÃO DAS CONDIÇÕES DE SAÚDE E QUALIDADE DE VIDA DE IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA: IMPLANTAÇÃO DE PROTOCOLO DE AVALIAÇÃO GERONTOLÓGICA MULTIDIMENSIONAL";"EQUIP. MATERIAL PERMANENTE";"R$         4.726,00";
"5954";"0984/2011 - AVALIAÇÃO DAS CONDIÇÕES DE SAÚDE E QUALIDADE DE VIDA DE IDOSOS RESIDENTES EM INSTITUIÇÕES DE LONGA PERMANÊNCIA: IMPLANTAÇÃO DE PROTOCOLO DE AVALIAÇÃO GERONTOLÓGICA MULTIDIMENSIONAL";"MAT. CONSUMO";"R$           231,47";
"10252";"11° SEMINÁRIO NORDESTE DE KENDO E IAIDO";"CUSTEIO";"R$         5.000,00";
"10252";"11° SEMINÁRIO NORDESTE DE KENDO E IAIDO";"PASSAGENS";"R$         4.242,96";
"10252";"11° SEMINÁRIO NORDESTE DE KENDO E IAIDO";"SERV. PESSOA JURÍDICA";"R$             0,00";
"7001";"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"CUSTEIO";"R$        69.284,35";
"7001";"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"DIÁRIAS";"R$         1.767,00";
"7001";"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"EQUIP. MATERIAL PERMANENTE";"R$        12.834,90";
"7001";"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"MAT. CONSUMO";"R$         5.564,22";
"7001";"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"PASSAGENS";"R$         1.460,30";
"7001";"12 CONGRESSO INTERNACIONAL ERGODESIGN & USIHC 2012 NATAL";"SERV. PESSOA JURÍDICA";"R$         4.376,76";
"7945";"1ª OFICINA DE CORDAS DA UFRN";"CUSTEIO";"R$         8.370,00";
"7945";"1ª OFICINA DE CORDAS DA UFRN";"PASSAGENS";"R$         1.926,58";
"10615";"1ª SEMANA DO CURSO DE JORNALISMO DA UFRN. TEMÁTICA: "NOVOS FORMATOS E LINGUAGENS NO JORNALISMO";"CUSTEIO";"R$         3.202,90";
"10615";"1ª SEMANA DO CURSO DE JORNALISMO DA UFRN. TEMÁTICA: "NOVOS FORMATOS E LINGUAGENS NO JORNALISMO";"PASSAGENS";"R$           897,78";
"10615";"1ª SEMANA DO CURSO DE JORNALISMO DA UFRN. TEMÁTICA: "NOVOS FORMATOS E LINGUAGENS NO JORNALISMO";"SERV. PESSOA FÍSICA";"R$             0,00";
"10615";"1ª SEMANA DO CURSO DE JORNALISMO DA UFRN. TEMÁTICA: "NOVOS FORMATOS E LINGUAGENS NO JORNALISMO";"SERV. PESSOA JURÍDICA";"R$           636,02";
"11037";"1º ENCONTRO DE FINANÇAS CORPORATIVAS UFRN/CERES";"CUSTEIO";"R$         3.000,00";
"11037";"1º ENCONTRO DE FINANÇAS CORPORATIVAS UFRN/CERES";"MAT. CONSUMO";"R$           313,31";
"8496";"1º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR DO SERIDÓ: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS";"CUSTEIO";"R$         1.356,54";
"8496";"1º ENCONTRO ENTRE OS CURSOS DAS CIÊNCIAS AGRÁRIAS, GESTORES E PRODUTORES DA AGRICULTURA FAMILIAR DO SERIDÓ: CONCEITOS, NECESSIDADES, DESAFIOS E PERSPECTIVAS";"SERV. PESSOA JURÍDICA";"R$         1.287,00";
"9508";"1° WORKSHOP DE EMPREENDEDORISMO E INOVAÇÃO DA INOVA METRÓPOLE";"CUSTEIO";"R$           810,00";
"9508";"1° WORKSHOP DE EMPREENDEDORISMO E INOVAÇÃO DA INOVA METRÓPOLE";"SERV. PESSOA FÍSICA";"R$           395,90";
"7677";"2013 - AÇÃO ESTRATÉGICA DE ATENÇÃO INTEGRADA AO CRESCIMENTO E DESENVOLVIMENTO INFANTIL.";"CUSTEIO";"R$         4.861,00";
"7677";"2013 - AÇÃO ESTRATÉGICA DE ATENÇÃO INTEGRADA AO CRESCIMENTO E DESENVOLVIMENTO INFANTIL.";"SERV. PESSOA JURÍDICA";"R$           635,00";
"7680";"2013 - ADOLESCENTES E DROGAS: O ESPORTE COMO FERRAMENTA DE PREVENÇÃO";"CUSTEIO";"R$         3.000,00";
"7704";"2013 - CAPACITAÇÃO E ASSESSORAMENTO NO PÓLO TILAPICULTURA: ENSINO E PESQUISA SE UNINDO EM PROL DA EXTENSÃO";"CUSTEIO";"R$         3.000,00";
"7704";"2013 - CAPACITAÇÃO E ASSESSORAMENTO NO PÓLO TILAPICULTURA: ENSINO E PESQUISA SE UNINDO EM PROL DA EXTENSÃO";"DIÁRIAS";"R$             0,00";
"7675";"2013 - COMER E COMER: O QUE É MELHOR PARA PODER CRESCER. CONHECENDO REPRESENTAÇÕES DE ALIMENTOS NA INFÂNCIA.";"CUSTEIO";"R$         1.731,00";
"7675";"2013 - COMER E COMER: O QUE É MELHOR PARA PODER CRESCER. CONHECENDO REPRESENTAÇÕES DE ALIMENTOS NA INFÂNCIA.";"SERV. PESSOA JURÍDICA";"R$           311,48";
"7706";"2013 - CRESCIMENTO E PRODUTIVIDADE EM UM SISTEMA AGROFLORESTAL NA VILA ASSIS CHATEAUBRIAND  TOUROS-RN";"CUSTEIO";"R$         3.000,00";
"7706";"2013 - CRESCIMENTO E PRODUTIVIDADE EM UM SISTEMA AGROFLORESTAL NA VILA ASSIS CHATEAUBRIAND  TOUROS-RN";"EQUIP. MATERIAL PERMANENTE";"R$         3.320,40";
"7706";"2013 - CRESCIMENTO E PRODUTIVIDADE EM UM SISTEMA AGROFLORESTAL NA VILA ASSIS CHATEAUBRIAND  TOUROS-RN";"MAT. CONSUMO";"R$           349,97";
"7702";"2013 - DESENVOLVIMENTO NO SEMIÁRIDO POTIGUAR: EXPLORAÇÃO SUSTENTÁVEL DE RECURSOS FLORESTAIS SUBSIDIADOS PELA PESQUISA, ENSINO E EXTENSÃO";"CUSTEIO";"R$         3.000,00";
"7702";"2013 - DESENVOLVIMENTO NO SEMIÁRIDO POTIGUAR: EXPLORAÇÃO SUSTENTÁVEL DE RECURSOS FLORESTAIS SUBSIDIADOS PELA PESQUISA, ENSINO E EXTENSÃO";"EQUIP. MATERIAL PERMANENTE";"R$         2.424,99";
"7702";"2013 - DESENVOLVIMENTO NO SEMIÁRIDO POTIGUAR: EXPLORAÇÃO SUSTENTÁVEL DE RECURSOS FLORESTAIS SUBSIDIADOS PELA PESQUISA, ENSINO E EXTENSÃO";"MAT. CONSUMO";"R$           574,92";
"7719";"2013 - DISSEMINANDO PRÁTICAS E CONTEÚDOS EM NEUROCIÊNCIAS";"CUSTEIO";"R$         3.000,00";
"7719";"2013 - DISSEMINANDO PRÁTICAS E CONTEÚDOS EM NEUROCIÊNCIAS";"MAT. CONSUMO";"R$         3.000,00";
"7708";"2013 - DIVULGAÇÃO DE CIÊNCIAS BÁSICAS NAS REDES SOCIAIS E OFICINAS DE OBJETOS CIENTÍFICOS";"CUSTEIO";"R$         3.000,00";
"7708";"2013 - DIVULGAÇÃO DE CIÊNCIAS BÁSICAS NAS REDES SOCIAIS E OFICINAS DE OBJETOS CIENTÍFICOS";"EQUIP. MATERIAL PERMANENTE";"R$         2.780,00";
"7708";"2013 - DIVULGAÇÃO DE CIÊNCIAS BÁSICAS NAS REDES SOCIAIS E OFICINAS DE OBJETOS CIENTÍFICOS";"SERV. PESSOA JURÍDICA";"R$           220,00";
"7678";"2013 - EDUCANDÁRIO DO ADOLESCER: TRABALHANDO A TEMÁTICA DA PREVENÇÃO DE DROGAS NAS ESCOLAS DE SANTA CRUZ/RN";"CUSTEIO";"R$         3.000,00";
"7678";"2013 - EDUCANDÁRIO DO ADOLESCER: TRABALHANDO A TEMÁTICA DA PREVENÇÃO DE DROGAS NAS ESCOLAS DE SANTA CRUZ/RN";"SERV. PESSOA JURÍDICA";"R$         3.000,00";
"7707";"2013 - GESTÃO DE RESÍDUOS ORGÂNICOS NA ESCOLA AGRÍCOLA DE JUNDIAÍ/UNIDADE ACADÊMICA ESPECIALIZADA EM CIÊNCIAS AGRÁRIAS/UFRN (EAJ/UECIA/UFRN).";"CUSTEIO";"R$         3.000,00";
"7715";"2013 - IMPACTOS SOCIO-ECONÔMICOS E AMBIENTAIS DE BARRAGENS SUBTERRÂNEAS NA MICROBACIA DO RIO COBRA, PARELHAS/RN";"CUSTEIO";"R$         3.000,00";
"7715";"2013 - IMPACTOS SOCIO-ECONÔMICOS E AMBIENTAIS DE BARRAGENS SUBTERRÂNEAS NA MICROBACIA DO RIO COBRA, PARELHAS/RN";"DIÁRIAS";"R$             0,00";
