"id_unidade";"nome";"sigla";"sigla_academica";"id_unidade_responsavel";"unidade_responsavel";"id_unidade_gestora";"unidade_gestora";"id_gestora_academica";"unidade_gestora_academica";"tipo_organizacional";"tipo_academica"
"7052";"CAENE";"CAENE";"CAE       ";"248";"PRÓ-REITORIA DE ASSUNTOS ESTUDANTIS";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ACESSORIA                                         ";"UNIDADE ACADEMICA ESPECIALIZADA"
"440";"CENTRO DE BIOCIÊNCIAS";"CB";"CB        ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"440";"CENTRO DE BIOCIÊNCIAS";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"CENTRO                                            ";"CENTRO"
"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"CCS";"CCS       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"CENTRO                                            ";"CENTRO"
"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"CCET";"CCET      ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"CENTRO                                            ";"CENTRO"
"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"CCHLA";"CCHLA     ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"CENTRO                                            ";"CENTRO"
"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"CCSA";"CCSA      ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"443";"CENTRO DE CIÊNCIAS SOCIAIS APLICADAS";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"CENTRO                                            ";"CENTRO"
"5965";"CENTRO DE EDUCAÇÃO";"CE";"CE        ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"5965";"CENTRO DE EDUCAÇÃO";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ACESSORIA                                         ";"CENTRO"
"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"CERES";"CERES     ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"1482";"CENTRO DE  ENSINO SUPERIOR DO SERIDÓ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"CENTRO                                            ";"CENTRO"
"445";"CENTRO DE TECNOLOGIA";"CT";"CT        ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"445";"CENTRO DE TECNOLOGIA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"CENTRO                                            ";"CENTRO"
"11";"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"DDP/PROGESP";"CCEP      ";"1421";"PRÓ-REITORIA DE GESTÃO DE PESSOAS";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"11";"DDP/PROGESP - DIRETORIA DE DESENVOLVIMENTO DE PESSOAS";"DEPARTAMENTO                                      ";"UNIDADE ACADEMICA ESPECIALIZADA"
"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"EAJ";"TAD       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"ESCOLA                                            ";"UNIDADE ACADEMICA ESPECIALIZADA"
"8919";"ESCOLA AGRICOLA DE JUNDIAI - PRONATEC";"EAJPRONATEC";"PRO       ";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"351";"ESCOLA AGRÍCOLA DE JUNDIAÍ";"";"UNIDADE ACADEMICA ESPECIALIZADA"
"4885";"ESCOLA DE CIÊNCIAS E TECNOLOGIA";"ECT";"ECT       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ESCOLA                                            ";"UNIDADE ACADEMICA ESPECIALIZADA"
"284";"ESCOLA DE MÚSICA";"EMUFRN";"EM        ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ESCOLA                                            ";"UNIDADE ACADEMICA ESPECIALIZADA"
"205";"ESCOLA DE SAÚDE";"ES/UFRN";"EEN       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"205";"ESCOLA DE SAÚDE";"ESCOLA                                            ";"UNIDADE ACADEMICA ESPECIALIZADA"
"7278";"ESCOLA MULTICAMPI DE CIÊNCIAS MÉDICAS DO RIO GRANDE DO NORTE";"EMCM/RN";"MDM       ";"262";"GABINETE DO REITOR";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ACESSORIA                                         ";"UNIDADE ACADEMICA ESPECIALIZADA"
"4890";"FACULDADE DE CIÊNCIAS DA SAÚDE DO TRAIRI - FACISA";"FACISA";"FACISA    ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ESCOLA                                            ";"UNIDADE ACADEMICA ESPECIALIZADA"
"6042";"INSTITUTO ÁGORA - LÍNGUAS, LITERATURAS E CULTURAS ESTRANGEIRAS MODERNAS";"AGR";"AGR       ";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"442";"CENTRO DE CIÊNCIAS HUMANAS, LETRAS E ARTES";"ACESSORIA                                         ";"UNIDADE ACADEMICA ESPECIALIZADA"
"6025";"INSTITUTO DE QUÍMICA";"IQ-UFRN";"IQ        ";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"439";"CENTRO DE CIÊNCIAS EXATAS E DA TERRA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ACESSORIA                                         ";"UNIDADE ACADEMICA ESPECIALIZADA"
"6026";"INSTITUTO DO CÉREBRO";"INST. CÉREBRO";"ICE       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ACESSORIA                                         ";"UNIDADE ACADEMICA ESPECIALIZADA"
"5279";"INSTITUTO INTERNACIONAL DE FÍSICA";"IIF";"IIF       ";"4659";"REITORIA";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"";"UNIDADE ACADEMICA ESPECIALIZADA"
"6069";"INSTITUTO METROPOLE DIGITAL";"IMD";"IMD       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"ACESSORIA                                         ";"UNIDADE ACADEMICA ESPECIALIZADA"
"4608";"MCT - INST. DE NEUROCIÊNCIAS DE NATAL";"MCT/NEURO";"MCT       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"4608";"MCT - INST. DE NEUROCIÊNCIAS DE NATAL";"4608";"MCT - INST. DE NEUROCIÊNCIAS DE NATAL";"";"UNIDADE ACADEMICA ESPECIALIZADA"
"409";"NÚCLEO DE ESTUDOS EM SAÚDE COLETIVA";"NESC/CCS";"NESC      ";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"441";"CENTRO DE CIÊNCIAS DA SAÚDE";"DEPARTAMENTO                                      ";"UNIDADE ACADEMICA ESPECIALIZADA"
"6033";"NUCLEO INTERDISCIPLINAR DE ESTUDOS EM DIVERSIDADE SEXUAL, GENERO E DIREITOS HUMANOS TIRESIA/UFRN";"NITRS";"NITR      ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"";"UNIDADE ACADEMICA ESPECIALIZADA"
"253";"NÚCLEO PERMANENTE DE CONCURSOS";"COMPERVE";"COMP      ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"COMISSAO PERMANENTE                               ";"UNIDADE ACADEMICA ESPECIALIZADA"
"1480";"SECRETARIA DE EDUCAÇÃO A DISTÂNCIA";"SEDIS";"ED        ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"PRÓ-REITORIA                                      ";"UNIDADE ACADEMICA ESPECIALIZADA"
"2";"SUPERINTENDÊNCIA DE INFORMÁTICA";"SINFO";"SUP       ";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"605";"UNIVERSIDADE FEDERAL DO RIO GRANDE DO NORTE";"2";"SUPERINTENDÊNCIA DE INFORMÁTICA";"SUPERINTENDÊNCIA                                  ";"UNIDADE ACADEMICA ESPECIALIZADA"
